Organization,Website,Status
Lawyers Lend A Hand to Youth,https://www.lawyerslendahand.org/,live
Lawyers Lend A Hand to Youth / Corboy & Demetrio,https://www.corboydemetrio.com/Charitable_Contributions_by_Attorneys_and_Staff,live
Lawyers Lend A Hand to Youth Program c/o The Chicago Bar Association,https://www.lawyerslendahand.org/,live
"Lawyers Lend A Hand to Youth Program, Donald Hubert & Associates",https://mgoblue.com/,live
"Lawyers Lend A Hand to Youth Program, Marsh USA",https://mgoblue.com/,live
"Lawyers Lend A Hand to Youth Program, c/o Chicago Bar Foundation",https://www.lawyerslendahand.org/,live
"Lawyers Lend A Hand to Youth Program, c/o The Chicago Bar Association",,not found
"Lawyers Lend A Hand to Youth, Chicago Bar Foundation",https://www.amherst.edu/system/files/media/CBA%20Record%20Review%20of%20The%20Cottoncrest%20Curse.pdf,live
"Lawyers Lend A Hand, Chicago Bar Foundation",,not found
"Lawyers Lend A Hand, Corboy & Demetrio",https://mgoblue.com/,live
"Lawyers Lend a Hand to Youth  Program, The Chicago Bar Foundation",,not found
"Lawyers Lend a Hand to Youth Program, Chicago Bar Foundation",https://mgoblue.com/,live
Leadership Council for Metropolitan Open Communities,http://loyolacurl.squarespace.com/projects/leadership-council-for-metropolitan-open-communities-history.html,live
Leadership in Tutoring,https://www.qualifiedtutor.org/pay-attention-is-it-time-for-parents-to-give-tutoring-more-headspace-love-tutoring-think-tank-may-2023-qt-paper/,live
Leahigh Valley College,,not found
Leap Learning Systems,https://www.leapinnovations.org/llf,live
Learner Success Associates,https://mgoblue.com/,live
Learning Enhancement Corporation,https://contactout.com/company/Learning-Enhancement-Corporation-56834,live
Learning Journeys ConsultingService,https://www.learningjourneys.com/,live
Learning Point Associates,https://www.adlit.org/profile/learning-point-associates,live
Leclaire M B Church,https://whiteeagleflowers.net/pages/same-day-flower-delivery-leclaire-mb-church,live
Legacy Creators LL,https://web.archive.org/web/20130124095442/www.1up.com/features/disappearance-suzuki-part-1,archived
Legacy Foundation,https://mayor.dc.gov/release/mayor-bowser-unveils-marion-barry-jr-legacy-murals,live
Legacy Mortgage,https://www.legacymortgage.com/products,live
Legacy Resource Group,https://techcommunity.microsoft.com/blog/itopstalkblog/how-to-manage-existing-azure-resource-groups-using-terraform/1648135,live
Lehigh Valley,https://www.discoverlehighvalley.com/about-us/organization-history/,live
Lehigh Valley Hospital,https://www.lvhn.org/locations/lehigh-valley-hospital-macungie,live
"Lehigh Valley Hospital - Akouo, Inc",https://www.lvhn.org/,live
"Lewis University, Leckrone Academic Resource Center",https://alumnius.net/depaul_university-8254-360,live
Liberty Baptist Church,https://www.libertybconline.org/staff,live
Liberty Baptist Church - Youth Ministry/Afterschool Program,,not found
Life Change Projects,https://goodtogochallengesforchange.wordpress.com/tag/life-changes-project-management-making-change-happen/,live
Life Directions,https://www.lifedirections.org/,live
Life Learners,https://www.lifelearners.online/category/life-learners/,live
Lifelink,https://lifelinktissuebank.org/,live
Lifelink Bensenville Home Sociaty,https://www.liveyourretirement.com/home/lifelink,live
Lightbulb Learning Center,https://www.lightbulbliteracy.com/,live
Lillian's House,https://web.archive.org/web/20080420154202/www.beyondmarriage.org/signatories.html,archived
Lillian’s House,https://lillian-house.com/,live
Lincoln Area YMCA,https://www.lincolnymca.org/,live
Lincoln Initiative for Tutoring LIFT,,not found
Lincoln Jr High School,https://www.greatschools.org/illinois/skokie/3742-Lincoln-Jr-High-School/,live
Lincoln Park HS Tutorial Services,,not found
Lincoln Park High School,https://www.lincolnparkhs.org/,live
Lincoln Park High School Tutorial Services,,not found
Lincoln's Challenge Program,https://www.illinois.gov/services/service.lincolns-challenge-academy.html,live
Lincolns Challenge Academy,https://www.tiktok.com/discover/lincolns-challenge-academy-rantoul-il,live
Lincolns Challenge Program,https://www.gospelengine.com/press/forum,live
Lincoln’s Challenge Program,https://web.archive.org/web/20180114160104/www.pbs.org/wgbh/nova/space/black-hole-apocalypse.html,archived
Literacy Chicago,https://literacychicago.org/,live
Literacy Volunteers of America,https://www.lvaep.org/,live
Literacy Volunteers of Illinois Jump Start,https://bearsofficialsstore.com/company/literacy_volunteers_of_illinois,unverified
Literacy Works,https://www.litworks.org/,live
Literature for All of Us,https://literatureforallofus.wordpress.com/tag/literature-for-all-of-us/,live
Little City Foundation,https://littlecity.org/,live
Logan Square Jubilee Ministries Church of the Advent,,not found
Logan Square Neighborhood Association,https://www.lsnaphilly.org/,live
Logos International,https://www.zeffy.com/organization/logos-international-louisiana,live
Long Beach BLAST,https://lbblast.org/,live
Longfellow School,https://www.op97.org/longfellow,live
Love Outreach AME Church,https://chicagoleader.com/wp-content/uploads/2021/12/Chicago-Leader-2021-Media-Kit-3.pdf,live
Love Outreach AME Church World Vision Chicago KidREACH,,not found
Lowell School,https://www.thelowellschool.com/about/,live
Loyola University,https://www.loyola.edu/,live
Loyola University Chicago Policy Research Action Group,https://ecommons.luc.edu/curl_pubs/20/,live
Loyola University GEAR UP,https://allstars.org/wp-content/uploads/2019/12/FINAL-to-print-All-Stars-ASD-Conference-2019-Program.pdf,live
Loyola University Gear Up,https://mgoblue.com/,live
Loyola University Literacy Center,https://www.italki.com/vi/teacher/2917584,live
"Loyola University of Chicago, Center for Urban Environmental Research & Policy",,not found
"Loyola University, Gear Up",https://allstars.org/wp-content/uploads/2019/12/FINAL-to-print-All-Stars-ASD-Conference-2019-Program.pdf,live
"Loyola University, Mallinckrodt Campus",https://www.landmarks.org/preservation-programs/most-endangered-historic-places-in-illinois/,live
"Lutheran Child & Family Service, Group Home for Teens",https://web.archive.org/web/20120331181604/www.courierpress.com/news/2011/nov/07/nexstar-cuts-several-news-jobs-local-tv-station-we/,archived
Lutheran Family Services,https://www.onelfs.org/,live
Lutheran Social Services,https://web.archive.org/web/20231130194120/https:/www.169fw.ang.af.mil/News/Commentaries/Article/454160/holocaust-remembrance-week/,archived
Lutheran Social Services of Illinois Family Connections,,not found
Lutherfaith Refugee & Immigration Ministries,https://www.r-i-m.net/,live
Luthern Child & Family Services,https://www.eventbrite.com/e/learn-about-becoming-a-foster-parent-with-lutheran-child-family-services-tickets-910743086087,live
Lydia Home Association,https://www.lydiahome.org/,live
Lyons Township High School,https://www.lths.net/,live
MACC,https://linktr.ee/macc_official,live
MECCA Services Prevention,https://web.archive.org/web/20170823195443/raigad.nic.in/DG/1964/his_mediaeval_period.html,archived
MENTOR The National Mentoring Partnership,https://mentoring.org/,live
MERIT School of Music,https://meritmusic.org/,live
MERIT School of Music: Music Education Reaching Instrumental Talents,https://meritmusic.org/,live
MGR Foundation,http://mgr.org/,live
MJ Scott Search Partners,https://www.kirkpalmer.com/team/mj-scott/,live
MSD of Martinsville,https://msdofmartinsville.org/community/,live
MTL Educational Consulting,,not found
"MYKIDS Mentor Program, Marion County Prosecutors Office",https://www.indy.gov/agency/marion-county-prosecutors-office,live
Madison County Probation & Court Services,https://madisoncounty.illinois.recordspage.org/,live
Maine Medical Center Dept of Volcational Service,https://mmcvs.entellitrak.com/etk-mmcvs-prod/login.request.do,live
Maine West High School,https://west.maine207.org/contact/,live
Male Involvement Program,https://www.plannedparenthood.org/planned-parenthood-orange-san-bernardino/better-than-sex-ed/male-involvement,live
Male Responsibility Program Employee & Family Resources,https://mgoblue.com/,live
Maple Park United Methodist Church Reading For Life (RFL),,not found
"Mar Vista Family Center, Culver City, CA",https://www.nld.org/mar-vista-family-center?student=1,live
Marconi Community Academy,https://schoolinfo.cps.edu/SchoolActions/Download.aspx?fid=2772,live
Marcy Newberry Association,https://headstartprograms.org/programs/edit/id/37931,live
Marillac House,https://www.vic.gov.au/marillac-house,live
Marillac Social Center,https://msvchicago.org/,live
Marketplace Entrepreneurs Initiative,https://web.archive.org/web/20110704110715/http:/www.sciencedebate.org/debate08.html,archived
Markham Public Library,https://www.markhamlibrary.org/,live
Mars Hill Baptist Church Youth Mentoring Program,http://web.archive.org/web/20061212165625/www.nisbco.org/biblio_A-H.htm,archived
Marshall Field Garden Apartment Homes,https://www.marshfieldapt.com/,live
Marshall High School,https://mhs.marshallpublicschools.org/students,live
Martin Luther King Jr Community Service,https://radiokingston.org/en/events/rev-dr-martin-luther-king-jr-community-service,live
"Martin Temple AME Zion Church - S.T.E.E.P., Project",,not found
Martin Temple AME Zion Church S T E E P Project,,not found
"Martin Temple AMJ,  S.T.E.E.P., Inc.",https://www.martintemplechicago.com/,live
Marwen,https://marwenarts.wixsite.com/blog/post/our-new-website-a-home-for-marwens-stories,live
Marwen Foundation,"https://www.causeiq.com/organizations/marwen,363523622/",live
Mary Crane Center,https://marycrane.org/,live
Mary Gerace Enterprises,https://marygerace.net/,live
Mary McDowell Settlement House,https://www.sargentshriver.org/archive/speeches/address-to-the-mary-mcdowell-settlement-house,live
Mary's Kids,https://kr.pinterest.com/mattwalker2016/marys-kids/,live
Maryville Academy,https://maryvilleacademy.org/,live
Mary’s Kids,https://www.stmaryskids.org/,live
Master Innovations,https://play.google.com/store/apps/dev?id=4671330639348436036&hl=en-US,live
"Math and Science Academy, Rowe-Clark",https://www.ncsasports.org/softball-recruiting/illinois/chicago/roweclark-math-and-science-academy,live
Matthew Manor Partnership,https://web.archive.org/web/20100416161127/newteevee.com/2010/04/12/google-to-open-source-vp8-for-html5-video/,archived
Mayors Office for People w Disabilities,https://www.chicago.gov/city/en/depts/mopd.html,live
Maywood Youth Mentoring Program,https://maywoodyouthmentoring.org/,live
Mc Mortgage Banc Dollars for Scholars,https://public.dollarsforscholars.org/,live
McCormick Theological Seminary,https://www.mccormick.edu/,live
McCormick Theological Seminary Safe Haven/Gun Violence,https://mgoblue.com/,live
McCutcheon Elementary School,https://mccutcheon.cps.edu/about/,live
McDonalds Owner,https://www.tiktok.com/discover/whats-the-mcdonalds-owner-name,live
McGaw YMCA,https://www.mcgawymca.org/,live
McGaw YMCA A Grassroots Aspen Experience,,not found
McGaw YMCA Project SOAR,https://www.centre.edu/documents/cvkiyonabrewsterpdf,live
McHenry County Youth Service Bureau Mentoring Program,,not found
McKendree College,https://www.mckendree.edu/about/about-mck/history/index.php,live
McKendree College - We Care Tutor,,not found
McLennan Partners,http://web.archive.org/web/19980207043332/crash.ihug.co.nz/complete.html,archived
"Media Workshop, New York",https://www.einpresswire.com/article/619583441/david-halperin-s-media-workshop-celebrates-175-000-photo-site-visitors,live
Meier Clinics Foundation,http://www.nonprofitfacts.com/IL/Meier-Clinics-Foundation.html,live
Meliora,https://us.parfums-de-marly.com/products/meliora?variant=40036849516738&ref=popsugar.com,live
Men Expressing Christ,https://cutemple.org/men-expressing-christ/,live
Mental Health Association In Illinois,https://greatnonprofits.org/org/mental-health-association-in-illinois,live
Mentor Department Bounce for Joy Project,https://mgoblue.com/,live
Mentor Illlinois One Family One Child,,not found
Mentor Program - Village of Mt Prospect,,not found
Mentoring America,https://www.mentoringamerica.org/,live
Mentoring Center of Palm Beach Country Childrens Services Council of Palm Beach County,https://www.cscpbc.org/,live
Mentors at Work,https://www.ccl.org/articles/leading-effectively-articles/mentoring-at-work-how-and-why-to-make-it-work-for-your-organization/,live
Mentorship Institute,https://thementoree.com/,live
"Mercy Home for Boys & Girls, FRIENDS FIRST",https://www.slideshare.net/mercyhome?nway-conten=,live
"Mercy Home for Boys & Girls, Friends First",https://www.slideshare.net/mercyhome?nway-conten=,live
Mercy Home for Boys and Girls,https://www.mercyhome.org/search/,live
Mercy Home for Boys and Girls - Friends First,https://chicago.suntimes.com/2016/6/24/18433136/mentoring-helps-chicago-teen-turn-his-grades-around,live
Mercy Home for Boys and Girls Friends First,https://chicago.suntimes.com/2016/6/24/18433136/mentoring-helps-chicago-teen-turn-his-grades-around,live
"Mercy Home for Boys and Girls, Friends First",https://chicago.suntimes.com/2016/6/24/18433136/mentoring-helps-chicago-teen-turn-his-grades-around,live
Mercy Home for Boys and Girls/Friends First,https://chicago.suntimes.com/2016/6/24/18433136/mentoring-helps-chicago-teen-turn-his-grades-around,live
"Mercy Home for Boys, Friends First","https://web.archive.org/web/20070705215723/www.tls.timesonline.co.uk/article/0,,25336-2647083,00.html",archived
Mercy Homes for Boys & Girls,https://vimeo.com/630118521,live
Mercy Housing,https://www.mercyhousing.org/,live
Merit Music Program,https://meritmusic.org/,live
Merrill Baptist Church,https://www.mapquest.com/us/oregon/merrill-baptist-church-408584768,live
"Merrill Baptist Church, My Brothers Keeper Youth Outreach Program",https://www.obama.org/programs/my-brothers-keeper-alliance/,live
"Merrill Lynch, Cabrini Connections, Tutor/Mentor Connection",https://mgoblue.com/,live
"Messalonskee Middle School, Oakland, ME",https://www.schools-info.com/oakland-me/messalonskee-middle-school/,live
MetLife,https://www.metlife.com/,live
Metro Achievement Center,https://www.midtown-metro.org/metro-for-girls,live
MetroSquash,https://metrosquash.org/,live
Metropolitan Family Services,https://www.metrofamily.org/,live
"Metropolitan Family Services, Blue Skies Tutoring Program",,not found
Metropolitan Water Reclamation Dist,https://geohub.mwrd.org/,live
Mexican Community Committee of Chicago,,not found
Mi Casa Resource Center for Women,https://askjan.org/organizations/Colorado-Mi-Casa-Resource-Center-for-Women.cfm,live
Michael Herman Associates,https://michaelherman.com/ia/home/experience/,live
Michelle Clark Middle School,https://www.pbcchicago.com/projects/michelle-clark-middle-school/,live
Michigan City Area Chamber of Commerce,https://web.iceaonline.com/Chamber-of-Commerce/Michigan-City-Area-Chamber-of-Commerce-55,live
Michigan City Area Schools,https://www.educatemc.net/,live
"Michigan State University, Extension Journey Program",https://web.archive.org/web/20201122125155/https:/skepticalinquirer.org/2013/01/the-secret-life-of-j-allen-hynek/,archived
Micro Business Development Program,https://mbdp.org/who-we-serve,live
MidAmerica Leadership Foundation,https://www.nonprofitlist.org/det/44698_midamerica-leadership-foundation,live
Midtown Center,https://oneparking.com/properties/midtown-center/,live
Midtown Educational Center,https://web.archive.org/web/20130715154824/www.newsobserver.com/2011/09/04/1459661/hamlet-fire-defines-and-divides.html,archived
Midtown Educational Foundation,https://www.midtown-metro.org/,live
Milwaukee Rescue Mission,https://milmission.org/,live
Milwaukee Violence Free Zone,https://mccwi.org/what-we-do/violence-prevention/,live
Mission Press,https://www.mariannhillpress.co.za/,live
Mississippi Faith Based Coalition,https://msfbc.wordpress.com/,live
Moji,https://linktr.ee/mojimusiclinks,live
"Morgan State  University, Urban Educational Leadership & Policy",https://www.morgan.edu/advanced-studies-leadership-and-policy/programs/urban-educational-leadership,live
Mortgage1Network,https://www.bankofamerica.com/mortgage/home-mortgage/,live
Morton College Gear-Up Alliance,https://mgoblue.com/,live
Mosaic Marketing Management,https://mosaicm.ae/,live
Motherland Connection International,https://athletics.houghton.edu/sports/baseball,live
Mott Childrens Health Center,https://www.naics.com/company-profile-page/?co=11719,live
Moving In The Spirit,https://movinginthespirit.org/,live
Mt Carmel CME Church CAPTURE THE VISION,https://mgoblue.com/,live
Mt Sinai Health Systems,https://www.mountsinai.org/,unverified
Mulatto Patriot Productions,https://mptracks.com/,live
Mullen Elementary School,https://www.mullenpublicschools.org/,live
Murray State College America Reads Program,https://mgoblue.com/,live
Museum of Science and Industry,https://www.griffinmsi.org/amenities/dining-and-shopping,live
Music Theater Workshop,https://summer.berklee.edu/programs/musical-theater-workshop,live
Muskegon Community College tudent Government,https://www.muskegoncc.edu/,live
Muskogee Housing Authority,https://www.muskogeehousing.org/,live
Mutual of Omaha Medicare,https://www.seniorliving.org/insurance/medigap/mutual-of-omaha/,live
My Brother's Keeper Youth Outreach Program,,not found
My Brothers Keeper Youth Outreach Program,,not found
MyLifeCircle com,https://www.419scam.org/emails/2006-09/21/index.htm,live
NAIM Community Mentoring,,not found
NEIU Chicago Teachers Center/21st Century Community Learning Center,,not found
NFL,https://www.nfl.com/,live
"NFL, Northwestern University, Jones Lang LaSalle Americas",https://nusports.com/,live
"NFL, University of Illinois",https://ru.pinterest.com/unisunn/university-of-illinois-at-urbanachampaign-fighting/,live
NRVC,https://nrvc.net/publication/4957-nrvc-board-and-staff,live
Naelewa Conseling Services,,not found
Nash Elementary School,https://www.kusd.edu/nash/,live
Natchez Adams County Economic Development Authority,https://www.natchezdemocrat.com/2000/05/02/supervisors-plan-trip-to-promote-economic-development-in-county/,live
Nathan Goldblatt Elementary School Paideia Program,,not found
Nation of Obesline YHWH,,not found
National Black MBA Association,https://nbmbaa.org/conference/hotel-travel/,live
National Black Wall Street Chicago,http://www.nationalblackwallstreetchicago.org/,live
National CARES Mentoring Movement,https://www.caresmentoring.org/,live
National Center for Family Literacy,https://www.ncsall.net/index.html@id=296.html,live
National Center for Latinos,https://www.ncctinc.com/,live
National Distributors,https://www.nat-dist.com/about-us/,live
National Federation of the Blind of Illinois,https://www.nfbofillinois.org/who-we-are,live
National Foundation for Teaching Entrepreneurship,https://askjan.org/concerns/Entrepreneurship-Associations-and-Organizations.cfm,live
National Puerto Rican Forum,https://smtnet.com/company/index.cfm?fuseaction=view_company&company_id=40480,live
National Tutoring Association,https://www.amherst.edu/academiclife/support/peer-tutoring/information-for-peer-tutors-and-tas/national-tutoring-association-code-of-ethics,live
Near NW Civic Committee - Mr. Moose’s Youth Center,https://www.chicagoresourcehub.com/wp-content/uploads/2016/03/chicago-neighborhood-resource-directory.pdf,live
Near NW Civic Committee Career Links Mentor Program,https://www.careerexplorenw.org/,live
Near North Development Corporation,https://indychamber.com/2024/09/29/president-search-open-for-near-north-development-corp/,live
Near North High School,https://jonrev.com/2020/07/09/nnhs/,live
Near North Little League,https://magazine.nd.edu/stories/a-hard-bounce-to-the-screen/,live
Neighborhood Capital Budget Group,https://www.chalkbeat.org/philadelphia/2003/3/12/22186043/getting-involved-fixing-school-buildings/,live
Neighborhood Schools Program,https://nsp.uchicago.edu/tutor-match,live
Neighborhood and Family Initiative,https://www.virascience.com/document/aa0b6b9d5bcf3e1c809abd72e658616a9c1b4266/,live
Nelson Barry Graphics c o RB Marketing Services,https://www.republicservices.com/,live
Neon Street Center,https://heartlandhumancareservices.org/program/neon,live
Nettelhorst Elementary School,https://www.greatschools.org/illinois/chicago/1259-Nettelhorst-Elementary-School/,live
New Calvary Baptist Church Community Complex,https://mgoblue.com/,live
New Community Covenant Church,https://newcommunitycovenant.com/,live
New Concept Self Development Center,https://urbanmilwaukee.com/2023/12/08/after-48-years-self-development-center-closing/,live
New Concepts Tutor Mentor Connection,http://www.nonprofitfacts.com/IL/New-Concepts-Tutor-Mentor-Connections.html,live
New Concepts Tutor/Mentor Connection,https://www.ed.gov/sites/ed/files/programs/gearup/abs-partner-05.doc,live
"New Concepts, Tutor/Mentor Connection",https://www.ed.gov/sites/ed/files/programs/gearup/abs-partner-05.doc,live
New Direction Outreach,https://www.newdirectionministries.com/,live
New Expression,https://en.cppreference.com/w/cpp/language/new.html,live
New Hope Community Service Center Youth Connections,https://bloomington.in.gov/parks/facilities/banneker-community-center,live
New Life Social Services,https://greatnonprofits.org/org/new-life-social-services,live
New Mercies Community Services,https://www.mapquest.com/us/illinois/new-mercies-community-services-404826496,live
New Moms,https://newmoms.org/,live
NewTestament Faith Church,https://tr.pinterest.com/pin/593912269649217622/,live
Nike,https://www.nike.com/men,live
Noah Learning Center,https://www.tamanbacaanpelangi.com/2010/05/30/130-books-from-noah-learning-center/,live
Nonprofit Ingenuity,https://www.idealist.org/en/nonprofit/7e07360828c742508fb25a6ffc17fb28-ingenuity-incorporated-chicago,live
Nonprofitable org,http://nonprofitable.org/,live
North Central College,https://www.northcentralcollege.edu/tay-talks,live
North Central College - Junior Senior Scholars,https://www.slideserve.com/shiro/bioinformatics-education-at-north-central-college,live
North Cook Young Adult Academy,https://www.ncisc.org/ncyaa,live
North Kenwood Oakland Charter Elementary School,https://chicagohistoricschools.wordpress.com/2014/01/09/ariel-community-academy-and-north-kenwood-oakland-charter-elementary-school-formerly-shakespeare-school/,live
North Lawndale Early,https://jobs.chalkbeat.org/jobs/north-lawndale-early-learning-center-prek-assistant-level-4-ece/,live
North Lawndale Learning Community,http://www.nonprofitfacts.com/IL/North-Lawndale-Learning-Community.html,live
North Star Mission,https://substack.garysheng.com/p/looking-for-a-mission-to-pursue-try,live
North Town Youth Net Near North Development Corporation,https://web.archive.org/web/20150122151305/www.polygon.com/a/life-in-japan/Hideki-Kamiya-Scalebound,archived
Northeastern Illinois University,https://www.neiu.edu/academics/programs,live
Northeastern Illinois University - Chicago Teacher's Center,https://www.idealist.org/en/nonprofit/12fde0d7a3d9465299d54242bdfca92b-chicago-teachers-center-at-northeastern-illinois-university-chicago,live
"Northeastern Illinois University, Chicago Teachers Center",https://ferialibrochicago.blogspot.com/,live
"Northeastern Illinois University, Chicago Teacher’s Center",https://web.archive.org/web/20030125211455/http://www.northeasternillinois.com:80/,archived
"Northeastern Illinois University, GEAR Up",https://mgoblue.com/,live
Northeastern Illinois University/Chicago Teacher’s Center,https://web.archive.org/web/20030125211455/http://www.northeasternillinois.com:80/,archived
Northeastern University,https://www.northeastern.edu/,live
Northlake Childrens Learning Center,https://www.northlakell.org/site,live
Northwest Community Center,https://web.archive.org/web/20100925051716/http://cityoforlando.net/elected/venues/amwayctrevents.htm,archived
Northwest Regional Educational Laboratory,https://educationnorthwest.org/insights/education-northwest-celebrates-50-years-video-and-timeline-major-milestones,live
"Northwest Settlement House, AmeriCorps Project YES!",https://mgoblue.com/,live
Northwestern University Center for Civic Engagement,https://www.idealist.org/es/ong/b6dab25bee2a42838c828b713a341e45-center-for-civic-engagement-northwestern-university-evanston,live
Northwestern University Kellogg Center for Nonprofit Management,,not found
Northwestern University Law School - Children and Family Justice Center,https://www.mybkexperience.com/,live
Northwestern University Public Interest Program,https://www.nupip.org/about/,live
Northwestern University School of Journalism,https://www.theatlantic.com/magazine/archive/1950/01/fishing-with-the-french/639894/,live
Northwestern University School of Law,https://www.law.northwestern.edu/,live
Northwestern University Settlement House - AmeriCorps Project YES!,,not found
Northwestern University Settlement House Americorps Project YES!,https://mgoblue.com/,live
Northwestern University Settlement House Project YES!,,not found
"Northwestern University, Campus Catalyst",https://mgoblue.com/,live
"Northwestern University, Kellogg Center for Nonprofit Management",,not found
"Northwestern University, NUPIP",,not found
"Northwestern University, School of Education and Social Policy",https://ethicsalarms.com/2025/12/29/unethical-website-of-the-month-northwestern-university-school-of-education-and-social-policy/,live
"Northwestern University, The Center for Urban School Policy",https://www.maenwatches.com/,live
Notre Dame AmeriCorps Chicago,https://www.idealist.org/en/nonprofit/dd5d65b3b7e4402a8eed35988de67736-notre-dame-americorps-chicago-chicago,live
O2 Cool  - Cool by Design,https://www.amazon.com/O2COOL-Multi-Pack-Personal-Battery-Powered/dp/B097Q7Q327,live
OASIS,https://www.oasisinet.com/,live
OMNI Youth Services,https://www.opencounseling.com/illinois/buffalo-grove/counseling-agency/omni-youth-services,live
Oak Park Public Schools,https://oakparkschools-cdn.fxbrt.com/district/oak-park-history/,live
Oak Park River Forest High School,https://www.greatschools.org/illinois/oak-park/3127-Oak-Park--River-Forest-High-School/,live
Oakdale Community Development Corporation,https://www.oakdalecov.org/leadership,live
Office Depot,https://www.officedepot.com/;forceMobile=true/,live
Office Max Community Relations,https://www.officedepot.com/;/”/,live
Office of State Rep Rich Bradley,https://web.archive.org/web/20220801141926/https:/www.tester.senate.gov/public-schedule/,archived
Ohio State University,https://www.osu.edu/impact/life-at-ohio-state/hidden-in-plain-sight,live
Olive Harvey College,https://www.ccc.edu/olive-harvey/home/,live
Omega Project,https://www.omegaprojectpt.com/,live
OmniScope,https://www.omniscope.ai/,live
On Time Solutions,https://www.otsva.com/,live
One-Church One-School,https://www.onechurchoneschool.org/,live
One80,https://serverfault.com/questions/904932/nginx-err-too-many-redirects-after-installing-ssl,live
Onward Neighborhood House,https://onwardhouse.org/,live
Open Books,https://www.open-books.org/,live
Operation Excel Afterschool Program,https://afterschoolhq.com/OperationXCEL/browse,live
"Opportunities, Jobs, Careers",https://www.boge.com/en-de/jobs-careers/,live
"Opportunities, Jobs, Careers (OSC)",https://mgoblue.com/,live
Ordinary People International NFP,https://greatnonprofits.org/org/ordinary-people-international-nfp,live
"OrgNet,com",http://orgnet.com/,live
Orions Mind,https://soundcloud.com/orionsproducer00/orions-mind-field-original-mix,live
Orr High School,https://orrhs.oldrochester.org/,live
Oscar White Community Service,https://web.archive.org/web/20231020012220/https:/www.artforum.com/columns/open-letter-art-community-cultural-organizations-518019/,archived
Ounce of Prevention Fund,https://www.ounce.org/,live
Our Next Generation,https://www.ongkids.org/,live
Outreach Center in Carol Stream,https://edition.cnn.com/2000/LOCAL/westcentral/08/02/ahd.crime.nightout/index.html,live
Outreach Community Center,https://hhocc.org/community-connection,live
Outreach Community Services,https://www.idealist.org/en/nonprofit/04492759d64c423ab5c397050affe1dd-larry-m-trice-sr-community-outreach-services-lansing,live
Over Comers Safe Haven Ministries,https://safehavenministries.org/services/,live
Owens Corning,https://www.owenscorning.com/en-us,live
P E T S,https://www.peta.org/,live
PCC Community Wellness Centers,https://kapsamedical.com/pcc-wellness-login,live
PCC Westside Community Wellness Centers,https://www.pcc.edu/,live
PIC Teaching Collective,https://www.thepicis.org/about-us/,live
PLCCA TEEN REACH,https://www.dhs.state.il.us/page.aspx?item=160411,live
PLCCA Youth Services,,not found
PURE (Parents United for Responsible education),https://www.resist.org/grantees/parents-united-for-responsible-education-pure,live
Pace Bus System - Organization Development,,not found
Pace Suburban Bus Service,https://www.mapquest.com/us/illinois/pace-suburban-bus-service-357524635,live
Pacific Insitute for Research and Evaluation,https://pmc.ncbi.nlm.nih.gov/articles/PMC6980270/,live
"Pahokee, Florida Housing Partnership",,not found
Parish School,https://parishschool.org/,live
Park Community Church,https://www.parkcommunity.org/,live
Park Manor Alumni Association,https://mgoblue.com/,live
Parkside School,https://ps130brooklyn.com/,live
Parkway Community House,https://archives.chipublib.org/agents/corporate_entities/814,live
Parkway Garden Tenant Service,https://www.ucnj.com/,live
Partners in Community Development,https://buttscountyga.com/planning-and-development/,live
Partnership to Educate and Advance Kids,https://cloztalk.com/collections/partnership-to-educate-and-advance-kids,live
Paso Adelante Mentoring Program NYOS Charter School,,not found
Passages Alternative Living Programs,https://www.marketscreener.com/insider/JESSIE-B-RUCKER-A22YAW/,live
Pathways to Development Program,https://web.archive.org/web/20210121112556/https:/www.cto.mil/kratsios-georgetown-cset/,archived
Patticake Childcare Center & Preschool,https://mgoblue.com/,live
Peace Maker Partnership Each One Reach One Child,https://volunteerinfo.org/each-one-reach-one/,live
Peanuts Playhouse,https://thepeanutsplayhouse.com/,live
Pease Lake Associates,,not found
Peggy Notebaert Nature Museum,https://naturemuseum.org/,live
Peoples & Associates,https://www.pase.com/,live
Peoples Church,https://peopleschurchsalem.churchcenter.com/giving,live
Peoples Energy Corporation,https://www.referenceforbusiness.com/history2/60/PEOPLES-ENERGY-CORPORATION.html,live
Peoria Public Schools,https://www.peoriapublicschools.org/o/pps/page/enrollment,live
Peoria Public Schools Adopt A School Program,https://idoc.pub/documents/lesson-plans-for-life-6nq9o1kzwplw,live
Peoria Public Schools Adopt-A-School Program,https://idoc.pub/documents/lesson-plans-for-life-6nq9o1kzwplw,live
"Peoria Public Schools, Adopt A School Program",https://idoc.pub/documents/lesson-plans-for-life-6nq9o1kzwplw,live
Peterson School,https://www.petersonschool.com/?trk=public_profile_project-button,live
Phil White Mentoring Ltd,https://www.gymshark.com/collections/all-products/womens,live
Pilsen Assemblies of God,https://www.7cups.com/local/us/il/chicago/faith/pilsen-assemblies-of-53226409633,live
Pilsen Coalition for Families,https://www.maenwatches.com/,live
Pilsen Inner City Kids,,not found
Pilsen Neighbors Community Council,https://pilsenneighbors.org/,live
Pine Avenue United Church,https://www.chicagoflowersdelivery.com/churches-temples-mosques-synagogues-and-wedding-chapels/pine-avenue-united-church/,live
Pine Elementary School,https://pine.educatemc.net/,live
Pioneer Press Skyline,https://www.iarcagallery.com/press-release,live
